Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
I,1/6/2022,150,41,18,4,4,1,,1,,,
I,1/7/2022,136.5,43,24,3,1,,,,,,
I,1/8/2022,159.5,58,31,10,2,,,,,,
I,1/9/2022,136.5,44,18,6,1,,1,1,,,
I,1/10/2022,170,52,19,10,6,,,,,,
I,1/11/2022,189.5,56,29,9,7,2,1,,,,
I,1/12/2022,223,55,20,16,6,2,1,,,,
I,1/13/2022,197,48,20,8,6,4,,2,,,
I,1/14/2022,155.5,42,16,7,4,,2,,,,
I,1/15/2022,119,31,14,1,,,,,,,
I,1/16/2022,94,27,9,1,,,,,,,
I,1/17/2022,156,47,24,4,1,,,1,,,
I,1/18/2022,120.5,39,13,4,2,,,,,,
I,1/19/2022,137,41,20,1,,1,,,,,
I,1/20/2022,171,49,26,8,2,1,,,,,
I,1/21/2022,158,47,22,7,1,,,,,,
I,1/22/2022,173,38,21,3,3,,2,,,,
I,1/23/2022,139,39,17,5,2,,1,1,,,
I,1/24/2022,220,57,16,15,5,2,1,4,,,
I,1/25/2022,259.5,51,11,10,6,2,1,8,,,
I,1/26/2022,206,55,21,11,3,2,4,3,,,
I,1/27/2022,227,43,20,9,6,1,2,,,,
I,1/28/2022,142,45,19,5,1,,,,,,
I,1/29/2022,104,26,10,2,,,,,,,
I,1/30/2022,128.5,27,13,2,,,,,,,
I,1/31/2022,140,56,29,6,2,,,,,,
I,2/1/2022,131,47,17,7,2,,,,,,
I,2/2/2022,106,39,13,1,1,,,,,,
I,2/3/2022,113.5,39,13,5,,,,,,,
I,2/4/2022,129,51,24,3,,,,,,,
I,2/5/2022,126,47,22,2,1,,,,,,
I,2/6/2022,126,33,15,1,2,,,,,,
I,2/7/2022,141,52,27,7,1,,,,,,
I,2/8/2022,134,51,21,6,1,,1,,,,
I,2/9/2022,136.5,34,15,5,,,,,,,
I,2/10/2022,140,38,14,5,2,1,,,,,
I,2/11/2022,130,47,21,4,1,1,,,,,
I,2/12/2022,103,30,11,1,,,,,,,
I,2/13/2022,108,42,12,3,1,,,,,,
I,2/14/2022,222,55,26,13,7,1,,1,,,
I,2/15/2022,193,42,18,9,1,1,,,,,
I,2/16/2022,132,46,19,3,2,,,1,,,
I,2/17/2022,139,60,36,2,1,1,,,,,
I,2/18/2022,100.5,36,8,3,1,,,,,,
I,2/19/2022,129.5,52,26,1,2,,,,,,
I,2/20/2022,103,47,18,1,1,,,,,,
I,2/21/2022,129.5,52,26,4,,,,,,,
I,2/22/2022,128.5,37,19,4,1,,,,,,
I,2/23/2022,161,56,34,6,2,1,,,,,
I,2/24/2022,152.5,49,26,7,1,,,,,,
I,2/25/2022,163.5,39,26,7,,,,,,,
I,2/26/2022,107,39,15,2,,1,,,,,
I,2/27/2022,123,51,23,4,1,,,,,,
I,2/28/2022,165,55,35,6,,1,,,,,
I,3/1/2022,125,49,17,6,2,1,,,,,
I,3/2/2022,148,48,26,5,,,,,,,
I,3/3/2022,138.5,50,28,4,3,,,,,,
I,3/4/2022,170.5,46,22,7,5,1,,,,,
I,3/5/2022,143.5,49,27,5,,,,,,,
I,3/6/2022,115,55,21,1,2,,,2,,,
I,3/7/2022,141,63,32,7,,2,1,,,,
I,3/8/2022,226,58,25,9,4,,,12,,,
I,3/9/2022,208,50,18,11,4,1,,4,,,
I,3/10/2022,332.5,64,17,14,7,3,2,14,,,
I,3/11/2022,151,47,20,6,2,2,,1,,,
I,3/12/2022,120,56,24,5,,,,,,,
I,3/13/2022,116,53,18,6,1,1,,,,,
I,3/14/2022,193,50,15,8,7,,,5,,,
I,3/15/2022,164,44,22,4,6,,,,,,
I,3/16/2022,176.5,65,28,15,4,,1,1,,,
I,3/17/2022,199,46,20,6,4,3,,3,,,
I,3/18/2022,218,47,23,9,3,1,1,4,,,
I,3/19/2022,137,36,16,3,4,2,,,,,
