Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
F,3/26/2022,130,34,14,2,2,,,,,,
F,3/27/2022,118,33,11,2,1,,1,,1,,
F,3/28/2022,133,37,13,3,1,,,1,1,1,
F,3/29/2022,160.5,45,19,5,3,1,,,,,
F,3/30/2022,188,47,21,4,4,3,1,2,,,
F,3/31/2022,128.5,32,11,2,,3,,2,,,
F,4/1/2022,130,43,12,3,2,5,,2,,,
F,4/2/2022,105,31,9,,1,1,2,,,,
F,4/3/2022,113,33,9,5,1,,,,,,
F,4/4/2022,159,41,21,2,3,,3,,,,
F,4/5/2022,170,41,14,8,2,1,,2,,,
F,4/6/2022,143,33,18,4,1,1,,,,1,
F,4/7/2022,135.5,38,18,4,2,,,1,,,
F,4/8/2022,138,37,13,4,2,1,,,,,
F,4/9/2022,131,56,23,5,2,,3,,,,
F,4/10/2022,158,35,17,3,,2,1,3,3,,
F,4/11/2022,249.5,47,16,4,10,1,3,5,,,
F,4/12/2022,162,42,15,2,1,1,2,5,,,
F,4/13/2022,314,45,11,6,3,7,2,7,1,1,
F,4/14/2022,205,34,13,4,2,,3,5,1,,
F,4/15/2022,166.5,43,19,3,1,3,2,3,,,
F,4/16/2022,136,30,17,,,,,,,2,
F,4/17/2022,160,31,9,4,1,1,1,,3,1,
F,4/18/2022,153.5,40,23,5,2,,,,,1,
F,4/19/2022,138.5,44,20,4,1,2,,,,,
F,4/20/2022,161,41,23,4,3,,,1,,,
F,4/21/2022,179,37,10,4,6,,,2,,,
F,4/22/2022,136,39,13,7,2,1,,,,,
F,4/23/2022,116,26,10,1,,1,,,,,
F,4/24/2022,126.5,34,13,3,,,,1,1,,
F,4/25/2022,128,51,19,4,1,1,1,1,,,
F,4/26/2022,192,29,12,7,1,1,,,,1,
F,4/27/2022,160,45,17,4,2,2,2,2,,,
F,4/28/2022,159.5,41,14,8,2,2,,1,,,
F,4/29/2022,137.5,32,12,2,2,,,,1,,
F,4/30/2022,112.5,34,13,1,1,,,,1,,
F,5/1/2022,135,44,19,3,1,1,,,1,,
F,5/2/2022,238,54,21,6,1,,1,16,1,,
F,5/3/2022,260,41,9,5,4,2,4,6,,,
F,5/4/2022,188,37,14,10,1,1,1,3,,,
F,5/5/2022,200,43,12,4,3,,1,8,2,,
F,5/6/2022,223,42,15,4,3,3,,6,,,
F,5/7/2022,166.5,26,13,1,1,2,1,,,,
F,5/8/2022,162,35,12,5,2,1,,,,,
F,5/9/2022,229,46,17,5,1,2,5,9,,,
F,5/10/2022,234.5,46,12,9,7,3,2,2,,,
F,5/11/2022,238,45,14,7,3,2,2,6,2,,
F,5/12/2022,256,38,10,8,2,2,4,8,,,
F,5/13/2022,541,46,7,4,5,6,6,11,,,
F,5/14/2022,248,31,9,5,2,3,,5,,,
F,5/15/2022,350,44,11,7,6,1,2,10,1,,
