
"DOS (No Time)","Median Decision to Departure","Total Admitted Pts","2-4 Hours","4-6 Hours","6-8 Hours","8-10 Hours","10-12 Hours","12-24 Hours","24-36 Hours","36-48 Hours","> 48 Hours"
"3/30/22","112.5","4","2","","","","","","","",""
"3/31/22","90.5","4","1","","","","","","","",""
"4/1/22","72","5","1","","","","","","","",""
"4/2/22","95","8","2","","1","","","","","",""
"4/3/22","143","8","5","","","","","","","",""
"4/4/22","136.5","4","1","1","","","","","","",""
"4/5/22","331.5","4","","","","","1","1","","",""
"4/6/22","65","7","1","","","","","","","",""
"4/7/22","75","5","","","","","","","","",""
"4/8/22","99.5","6","2","","","","1","","","",""
"4/9/22","77","4","1","","","","","","","",""
"4/10/22","126","5","3","","","","","","","",""
"4/11/22","49","4","","","","","","","","",""
"4/12/22","44","4","","","","","","","","",""
"4/13/22","52.5","6","","","","","","","","",""
"4/14/22","48","8","2","","","","","","","",""
"4/15/22","94","6","1","","","","","","","",""
"4/16/22","31","5","","","","","","","","",""
"4/17/22","98","7","1","1","","","","","","",""
"4/18/22","165.5","8","2","2","1","","","","","",""
"4/19/22","80","4","1","","","","","","","",""
"4/20/22","90.5","8","1","1","","","","","","",""
"4/21/22","78.5","11","2","","1","","","","","",""
"4/22/22","160","6","3","","","","","1","","",""
"4/23/22","36","3","","","","","","","","",""
"4/24/22","34","5","1","","","","","","","",""
"4/25/22","34","6","1","","","","","","","",""
"4/26/22","32.5","6","","","","","","","","1",""
"4/27/22","64","5","","","","","","","","",""
"4/28/22","35","5","1","","","","","","","",""
"4/29/22","126","1","1","","","","","","","",""
"4/30/22","102","3","1","","","","","","","",""
"5/1/22","75","8","2","","","","","","","",""
"5/2/22","83","5","","","","","","","","",""
"5/3/22","174.5","4","","1","1","","","","","",""
"5/4/22","51.5","4","1","","","","","","","",""
"5/5/22","74","6","1","","","","","","","",""
"5/6/22","60","8","2","","","","","","","",""
"5/7/22","78.5","8","3","","","","","","","",""
"5/8/22","92","5","2","","","","","","","",""
"5/9/22","51","9","","","","","","","","",""
"5/10/22","106.5","4","2","","","","","","","",""
"5/11/22","77","4","","","","","","","","",""
"5/12/22","94.5","4","","1","","","","","","",""
"5/13/22","105","5","1","1","","","","","","",""
"5/14/22","43","7","1","","","","1","","","",""
"5/15/22","54","6","","","","","","","","",""
"5/16/22","84","5","2","","","","","","","",""
"5/17/22","116","7","2","","","","1","","","",""
"5/18/22","85","9","2","1","","","","","","",""
"5/19/22","172","8","1","","1","1","1","","","",""
"5/20/22","137.5","2","","1","","","","","","",""
"5/21/22","61","6","1","","","","","","","",""
"5/22/22","39","7","","","","","","","","",""
"5/23/22","54","10","2","","","","","","","",""
"5/24/22","82","5","2","","","","","","","",""
"5/25/22","113","4","2","","","","","","","",""
"5/26/22","113","11","3","1","1","","","","","",""
"5/27/22","101","4","1","","","","","","","",""
"5/28/22","91","4","1","","","","","","","",""
"5/29/22","86.5","5","","","","","","","","",""
"5/30/22","72","5","","1","","","","","","",""
"5/31/22","135","9","2","2","","","1","","","",""
"6/1/22","133.5","10","3","2","","","","","","",""
"6/2/22","79","5","1","","","","","","","",""
"6/3/22","77","4","","1","","","","","","",""
"6/4/22","149","4","3","","","","","","","",""
"6/5/22","54","4","","","","","","","","",""
"6/6/22","61.5","9","","1","","","","1","","",""
"6/7/22","115","4","2","","","","","","","",""
"6/8/22","77.5","6","","1","","","","","","",""
"6/9/22","83.5","4","","","","","","","","",""
"6/10/22","81","5","1","","","","","","","",""
"6/11/22","45","4","","","","","","","","",""
"6/12/22","32","5","","1","","","","","","",""
"6/13/22","128","3","1","","","","1","","","",""
"6/14/22","100.5","6","2","","","","","","","",""
"6/15/22","674","6","","1","","","1","2","","",""
"6/16/22","33","5","","1","","","","","","",""
"6/17/22","62","4","","","","","","","","",""
"6/18/22","92","5","1","1","","","","","","",""
"6/19/22","32","3","","","","","","","","",""
"6/20/22","86.5","4","1","","","","","","","",""
"6/21/22","17","5","","","","","","","","",""
"6/22/22","60","5","1","","","","","","","",""
"6/23/22","66","7","","","1","","","","","",""
"6/24/22","162.5","4","2","1","","","","","","",""
"6/25/22","122.5","6","3","","","","","","","",""
"6/26/22","84","4","","1","","","","","","",""
"6/27/22","106","8","3","1","","","","","","",""
"6/28/22","47","9","1","","","","","","","",""
"6/29/22","73","5","","","","","","","","",""
"6/30/22","6","1","","","","","","","","",""
"7/1/22","79.5","8","2","","","","","","","",""
"7/2/22","38","4","1","","","","","","","",""
"7/3/22","39","5","","","","","","","","",""
"7/4/22","126","5","2","","","","1","","","",""
"7/5/22","46","7","1","","","","","","","",""
"7/6/22","124","5","2","","","","","","","",""
"7/7/22","77","6","1","","","","","","1","",""
"7/8/22","118","7","","3","","","","","","",""
"7/9/22","57","5","","","","","","1","","",""
"7/10/22","71","6","","","","","1","","","",""
"7/11/22","87","4","1","","","","","","","",""
"7/12/22","180.5","6","2","","","","","","2","",""
"7/13/22","86","2","","","","","","","","",""
"7/14/22","41","3","","","","","","","","",""
"7/15/22","76","5","1","","","","","","","",""
"7/16/22","61.5","6","","1","","1","","","","",""
"7/17/22","131","8","4","1","","","","","","",""
"7/18/22","72","7","1","","1","","","","","",""
"7/19/22","67","8","3","","","","","","","",""
"7/20/22","100","8","3","1","","","","","","",""
"7/21/22","51","4","1","","","","","","","",""
"7/22/22","141.5","8","3","1","","","","","","",""
"7/23/22","53.5","6","1","","","","","","","",""
"7/24/22","140","8","1","1","1","","","1","","",""
"7/25/22","96","7","1","1","1","","","","","",""
"7/26/22","93.5","5","","1","","","","","","",""
"7/27/22","199.5","4","1","1","1","","","","","",""
"7/28/22","153.5","8","2","","1","","","","","",""
"7/29/22","54","7","","","","","","","","",""
"7/30/22","45","5","","","","","","","","",""
"7/31/22","79.5","5","1","","","","","","","",""
"8/1/22","74","4","","","","","","","","",""
"8/2/22","87","3","","","","","","","","",""
"8/3/22","31.5","4","","","","","","","","",""
"8/4/22","166","8","2","2","","","","","","",""
"8/5/22","95","9","2","","","","","","","",""
"8/6/22","43","6","1","","","1","","","","",""
"8/7/22","131","4","2","","","","","","","",""
"8/8/22","97","11","2","1","1","","1","","","",""
"8/9/22","94","7","","","","1","","1","","",""
"8/10/22","70","5","","","1","","","","","",""
"8/11/22","105","7","2","","","","","","","",""
"8/12/22","71","5","1","","","","","","","",""
"8/13/22","100","7","3","","","","","","","",""
"8/14/22","119.5","4","2","","","","","","","",""
"8/15/22","76","6","","","","","","1","","",""
"8/16/22","49","4","","","","","","","","",""
"8/17/22","35","4","","","","","","","","",""
"8/18/22","43","5","","","","","","","","",""
"8/19/22","37","3","","","","","","","","",""
